l=3, p=28, p2=32, z=2.069033885938025, z2=3.46697082984357, w=0.0010788598211224532, w2=0.0010151676879732751, val_np=(nan+nanj), val_jax=(nan+nanj)
l=1, p=24, p2=38, z=0.8456046825891849, z2=2.501848684930374, w=0.0010421704934553283, w2=0.0010132278211125332, val_np=(nan+nanj), val_jax=(nan+nanj)
l=-2, p=33, p2=28, z=3.6624905708921673, z2=0.39635891979695886, w=0.0010854210774461567, w2=0.0010527026096211864, val_np=(nan+nanj), val_jax=(nan+nanj)
l=3, p=24, p2=36, z=0.6208393487683871, z2=1.7901550259366303, w=0.0010009332619827095, w2=0.0010246680864521623, val_np=(nan+nanj), val_jax=(nan+nanj)
l=1, p=31, p2=31, z=0.8325913388875734, z2=2.579187514879121, w=0.0010498041393056869, w2=0.0010742826974906318, val_np=(nan+nanj), val_jax=(nan+nanj)
l=3, p=33, p2=27, z=3.1121005863430895, z2=3.341018031414013, w=0.0010137301032715571, w2=0.0010952388752398727, val_np=(nan+nanj), val_jax=(nan+nanj)
l=-2, p=38, p2=23, z=0.9260010001930927, z2=0.8282279790808031, w=0.0010411145336479987, w2=0.0010704033452591658, val_np=(nan+nanj), val_jax=(nan+nanj)
l=-1, p=28, p2=34, z=2.46388125611247, z2=0.16119026441781967, w=0.0010206798676044146, w2=0.0010925066556447057, val_np=(nan+nanj), val_jax=(nan+nanj)
l=2, p=29, p2=32, z=3.298398803665742, z2=1.6069712390020732, w=0.0010112387049322261, w2=0.001007563236383455, val_np=(nan+nanj), val_jax=(nan+nanj)
l=0, p=38, p2=25, z=2.177697510218329, z2=0.7211453831952708, w=0.0010224370175698487, w2=0.0010493851195708102, val_np=(nan+nanj), val_jax=(nan+nanj)
l=0, p=24, p2=39, z=1.1388560060368158, z2=1.549846603278437, w=0.001085243141756912, w2=0.0010500299874393994, val_np=(nan+nanj), val_jax=(nan+nanj)
l=-1, p=32, p2=30, z=3.298194916710216, z2=0.8909026007607989, w=0.0010239710078242445, w2=0.0010372607103577081, val_np=(nan+nanj), val_jax=(nan+nanj)
l=3, p=31, p2=29, z=0.4923226991923984, z2=3.6210360647496174, w=0.0010867355639115359, w2=0.0010233611032036238, val_np=(nan+nanj), val_jax=(nan+nanj)
l=2, p=39, p2=22, z=0.13599973619346578, z2=0.1444895281694687, w=0.0010026348332193918, w2=0.0010739126667136548, val_np=(nan+nanj), val_jax=(nan+nanj)
l=2, p=21, p2=40, z=2.734788001866233, z2=3.297891684361263, w=0.0010434072081815981, w2=0.001092852407504243, val_np=(nan+nanj), val_jax=(nan+nanj)
l=-3, p=22, p2=38, z=0.6519409236586606, z2=0.4556160305261145, w=0.0010179694094651303, w2=0.0010970189724306273, val_np=(nan+nanj), val_jax=(nan+nanj)
l=-1, p=30, p2=32, z=1.3135720461282778, z2=2.936077682169623, w=0.0010543894696492641, w2=0.0010876849774154114, val_np=(nan+nanj), val_jax=(nan+nanj)
l=-2, p=39, p2=22, z=0.7990404492770681, z2=2.5397696111516375, w=0.0010043397694156052, w2=0.0010066418404481435, val_np=(nan+nanj), val_jax=(nan+nanj)
l=-2, p=35, p2=26, z=3.1582489875576574, z2=2.920557178667185, w=0.0010913736675109943, w2=0.0010832903722824598, val_np=(nan+nanj), val_jax=(nan+nanj)
l=-3, p=26, p2=34, z=2.0350203255382113, z2=2.9414946502674164, w=0.0010334658287124501, w2=0.0010379125910705224, val_np=(nan+nanj), val_jax=(nan+nanj)
l=0, p=32, p2=31, z=0.29274180437507213, z2=0.26606956831804185, w=0.0010537384842439369, w2=0.0010160130240184642, val_np=(nan+nanj), val_jax=(nan+nanj)
l=1, p=24, p2=38, z=3.829424973232135, z2=2.78272817305915, w=0.0010657474335191628, w2=0.0010570451734872345, val_np=(nan+nanj), val_jax=(nan+nanj)
l=-1, p=27, p2=35, z=3.594559052521859, z2=1.9013620032735077, w=0.001084200881183861, w2=0.001047530567466762, val_np=(nan+nanj), val_jax=(nan+nanj)
l=3, p=24, p2=36, z=0.3391762584016402, z2=0.0785374110497568, w=0.0010719288800152282, w2=0.0010439194165682668, val_np=(nan+nanj), val_jax=(nan+nanj)
l=-3, p=23, p2=37, z=2.2257321912724954, z2=0.5716273961825786, w=0.0010324577335629368, w2=0.0010410091683261155, val_np=(nan+nanj), val_jax=(nan+nanj)
l=0, p=29, p2=34, z=2.977124919156255, z2=1.3672797920074662, w=0.001088972574099997, w2=0.001039505877360325, val_np=(nan+nanj), val_jax=(nan+nanj)
